[2021-12-17 15:41:36.872912]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:04.063563]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:06.859196]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:09.735583]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:42:11.519572]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:14.359496]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:16.529075]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:42:17.889063]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:20.865212]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:51.191463]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:43:21.361183]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:43:24.361460]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:43:35.203535]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:43:36.636272]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:43:39.366940]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:44:07.180975]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:44:37.330240]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:44:40.862357]: Camera 1; IP Address: 8.8.8.8 Offline
[2021-12-17 15:45:11.100176]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:01:13.191673]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:01:18.138697]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:01:22.360257]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:01:54.757744]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:02:25.514384]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:02:29.363509]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:02:56.076093]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:02:59.863293]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:03:32.658645]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:04:02.876325]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:04:06.371679]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:04:39.673186]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:04:59.288999]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:05:04.563414]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:05:08.367133]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:05:41.683133]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:06:12.533824]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:06:16.361316]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:06:49.680342]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:34:11.975484]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:34:15.872124]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:19:56.302463]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:20:00.367310]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:20:33.587659]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:21:04.325107]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:21:07.876713]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:21:40.307401]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:21:59.071246]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:22:14.039727]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:22:24.822285]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:22:28.364864]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:22:31.663620]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:22:35.377490]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:22:37.039590]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:23:07.343991]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:23:10.880537]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:23:23.833729]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:23:54.318441]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:23:57.865526]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:24:30.583418]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:25:01.336228]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:25:04.876425]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:25:37.277504]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:25:56.512310]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 19:26:34.312815]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 19:26:37.866333]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 19:27:10.248055]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:09:56.791212]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:10:00.369152]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:10:00.369152]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:10:00.391156]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:10:00.391156]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:10:00.391156]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:10:00.397158]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:10:00.397158]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:10:00.397158]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:10:00.398157]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:10:00.401160]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:10:00.401160]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:10:32.952084]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:11:03.338610]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:11:06.876794]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:11:06.878796]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:11:06.879794]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:11:06.880794]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:11:06.881793]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:11:06.881793]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:11:06.883794]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:11:06.886795]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:11:06.890797]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:11:24.984164]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:11:28.879373]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:11:28.882376]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:11:28.882376]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:11:28.882376]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:11:28.882376]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:11:28.883374]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:11:28.884377]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:11:28.886377]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:11:28.888379]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:11:28.891376]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:11:28.893375]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:11:28.896375]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:11:40.113571]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:12:10.349055]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:12:13.888383]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:12:13.892380]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:12:13.892380]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:12:13.892380]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:12:13.892380]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:12:13.893382]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:12:13.893382]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:12:13.893382]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:12:13.894380]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:12:13.895380]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:12:13.903381]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:12:46.582176]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:13:17.344964]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:13:20.881459]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:13:20.884461]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:13:20.884461]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:13:20.885975]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:13:20.886977]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:13:20.886977]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:13:20.887978]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:13:20.888977]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:13:20.891979]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:13:20.894976]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:13:20.894976]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:13:20.897978]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:13:53.578251]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:14:24.346845]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:14:27.883549]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:14:27.885541]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:14:27.886542]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:14:27.887543]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:14:27.887543]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:14:27.887543]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:14:27.887543]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:14:27.887543]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:14:27.888542]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:14:27.889543]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:14:27.890542]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:14:27.894543]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:15:00.590406]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:15:31.681516]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:15:35.394626]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:15:35.397144]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:15:35.399661]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:15:35.404179]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:15:35.406180]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:15:35.411181]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:15:35.413183]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:15:35.415182]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:15:35.416180]: Camera 2; IP Address: asdfasdf.com Offline
